sentence1,sentence2,similarity,predicted_similarity
The woman is dicing onions,There is no woman cutting an onion,2.75,2.990675
A man is wearing a hard hat and dancing,A man is wearing a hat which is hard and is dancing,4.875,4.5580444
A man is wearing a hard hat and dancing,A man is naked and standing still,1.125,2.0473046
A man is wearing a hard hat and dancing,There is no man with a hard hat dancing,3.25,3.375774
A man is dancing with a worn hard hat,A man with a hard hat is dancing,4.375,4.552565
A man is wearing a hard hat and dancing,A man with a hard hat is dancing,4.625,4.296875
Two boys are studying,Two boys on a couch are playing video games,1.6249999999999998,2.273101
A woman is cutting a potato,A woman is slicing a potato,5.0,4.410288
The man is not slicing vegetables,A woman is slicing a potato,3.0,1.3889881
The man is slicing vegetables,A woman is slicing a potato,2.5,2.0417922
The lady is breaking an egg for the mixer,The lady is cracking an egg for the mixer,4.875,4.539781
A man is getting off the car,A man is getting into a car,3.875,3.9815834
A man is hurriedly getting into a car in a garage,A man is getting into a car in a garage,4.625,4.124353
A man is getting a garage for the car,A man is getting into a car,2.125,3.6633
A man is getting into a car in a garage,A man is getting into a car,4.0,4.1280518
The person is slicing a clove of garlic into pieces,The person is not slicing a clove of garlic into pieces,2.5,3.2099473
A person is cutting a capsicum into pieces,The person is not slicing a clove of garlic into pieces,3.125,2.204096
A capsicum is being cut into pieces by a person,The person is slicing a clove of garlic into pieces,2.25,2.419519
A woman is drying noodles,A person is boiling noodles,3.0,3.62449
The man is kicking a boxing trainer,A karate practitioner is kicking at another man who is wearing protective boxing gloves,4.0,3.715022
A woman on a boulder is lying on a blanket and reading a book,A seated woman is singing a song and playing the guitar,2.0,0.6184356
A seated woman is singing a song and playing the guitar,A woman on a rock is standing and looking around,0.875,1.9799398
A woman on a rock is lying on a blanket and reading a book,"A woman, who is seated, is singing a song and playing the guitar",1.0,1.3978356
A woman on a rock is lying on a blanket and reading a book,There is no seated woman singing a song and playing the guitar,1.375,0.9662592
A man is packing away an acoustic guitar,A man is playing an acoustic guitar,3.25,3.7452543
The woman is playing an electric guitar,A man is playing a guitar that is acoustic,3.125,3.4508765
The woman is cracking eggs into a bowl,Eggs are being cracked into a bowl by the woman,5.0,4.057993
The woman is storing away the eggs,The woman is cracking eggs into a bowl,3.25,2.691092
The lady is breaking raw eggs into a bowl,The woman is cracking eggs into a bowl,4.625,4.4383793
Some people who play soccer are kicking a soccer ball into the goal,A soccer player is scoring a goal,3.875,4.1707506
A man and a woman are eating happily,A man and a woman are eating,3.75,4.6957784
A person is pouring oil made with olives into a pot on the stove,A person is pouring olive oil into a pot on the stove,4.875,3.8483863
A person is pouring oil for cooking into a pot,A person is pouring cooking oil into a pot,5.0,4.443387
A woman is walking the dog down the street,The woman is walking the dog down the street ,4.875,4.3841753
A woman is walking the dog down the street,A woman is restraining the dog,3.5,3.404066
The woman is not walking the dog,The woman is walking the dog,3.5,3.3289557
A woman is walking the dog down the street,The dog is being walked by the woman,4.64375,4.362077
The woman is walking the dog down the street ,The woman is walking the dog,4.375,4.2996798
A guinea pig is devouring a carrot,A guinea pig is eating a carrot,5.0,4.2043085
"A guinea pig, which is small, is gnawing and eating a piece of carrot on the floor",A guinea pig is eating a carrot,4.25,4.555874
A small guinea pig is gnawing and eating a piece of carrot on the floor,A guinea pig is devouring a carrot,4.375,4.1931376
A man is slicing a carrot with a knife,The woman is not slicing an onion,2.125,1.1884739
A plane is taking off,A plane is landing,3.5,4.6741447
A cartoon airplane is landing,A plane is landing,4.125,4.967503
A plane is landing,An animated airplane is taking off,2.125,3.4674194
An animated airplane is landing,A plane is taking off,2.125,4.030499
The girl is using an eye pencil on her eyelid,The girl is using a pencil for the eyes on her eyelid,4.875,4.53459
The woman is penciling on eyeshadow,The woman is not penciling on eyeshadow,3.875,4.001925
A little girl is playing a grand piano on stage,A girl is playing the piano,4.125,4.053307
Two cats are playfully fighting each other,Two cats are fighting each other,4.25,4.738459
Two cats are lying together,Two cats are fighting each other,2.5,2.805915
Two cats are playfully fighting each other,The cats are playing with each other,4.25,4.0195765
There is no man riding a mechanical bull,A man is riding a mechanical bull,4.25,3.4816592
The man is riding a mechanical bull,A person is riding a mechanical bull,4.375,4.2910047
A woman is putting down a flute,The woman is playing the flute,2.75,3.8045285
A tree is being cut by a man with an axe,A man is cutting a tree with an axe,4.875,4.6692624
A man is cutting a tree with an axe,A man is watering a tree,2.0,2.6147609
A girl is applying makeup to her face,The girl is applying makeup to her face,4.875,4.5138
A girl is applying makeup to her face,There is no girl applying makeup to her face,4.125,3.425646
A girl is applying makeup to her face,There is no woman putting on makeup,2.625,3.178437
There is no girl applying makeup to her face,A woman is putting on makeup,3.75,3.2164829
A girl is applying makeup to her face,A woman is putting on makeup,3.125,3.9241092
The herd of caribous is crossing a road quickly,The herd of caribous is crossing a road,4.0,4.1929383
The woman is dicing a carrot,A woman is slicing an onion,1.875,3.2651155
Two men are fighting in a cattle pen,Two men are fighting in a pen for cattle,4.5,4.3694706
Two men are fighting in a cattle pen,Two men are outside a cattle pen,2.5,3.80832
The man is eating a banana by a tree,There is no man eating a banana,4.0,3.2450144
The man is eating a banana by a tree,A man is eating a banana,4.375,4.6030135
A big green ball is knocking a potato,"A ball, which is green and big, is knocking a potato",4.875,3.847493
A large green ball is missing a potato,A large green ball is hitting a potato,3.125,3.7042255
A large green ball is hitting a potato,A big potato is knocking a green ball,3.875,3.1369555
Two teams are enthusiastically playing soccer,Two teams are playing soccer,4.625,4.3470273
A boy is comfortably sitting in a room and playing a piano by a lamp,A boy is playing a keyboard,3.625,4.305103
There is no woman playing an electric guitar,A man is playing a guitar,3.25,2.6958046
A woman is playing an electric guitar,A man is laying down a guitar,1.6249999999999998,2.8482497
A man in a suit is standing at a microphone and singing,The man in a suit is standing at a microphone and singing,5.0,4.425606
The man on stage is passionately singing into the microphone,The man on stage is singing into the microphone,4.5,4.725711
The man is staging a microphone and is singing,The man on stage is singing into the microphone,3.0,3.9491122
A man in a suit is standing at a microphone and singing,The man on stage is passionately singing into the microphone,4.0,4.1679015
Three young girls are dancing in the room,Some teenage girls are dancing for the camera,3.375,3.3672888
Three teenage girls are idling in the room,Some teenage girls are dancing for the camera,2.625,2.0622787
A few children are jumping on a trampoline,Two boy are playing on a trampoline,3.875,3.8379056
The puppy is playing with a plastic container,The puppy is playing with a container made of plastic,5.0,4.784087
A man is athletically jumping a wall,A man is jumping a wall,4.375,4.598596
A man is jumping onto a low wall,A man is standing in front of a wall,2.5,3.0039966
The man is pouring oil into a pan,A man is pouring oil into a pan,5.0,4.5883937
A man is pouring oil into a skillet,Oil is being poured into a skillet by a man,5.0,4.8500295
A man is pouring oil into a skillet,A man is taking the oil out off a skillet,2.625,3.441006
The person is brushing a cat,A person is brushing a cat,5.0,4.44049
A person is combing the fur of a cat,The fur of a cat is being combed by a person,4.875,3.4137866
A person is combing the fur of a cat,The person is brushing a cat,4.125,3.8622713
Nobody is brushing a cat,A person is combing the fur of a cat,3.375,3.1488657
A woman is chopping broccoli,The woman is not chopping garlic,2.625,2.1423256
There is no woman dancing,Some women are dancing,3.25,3.018217
Three men are dancing,There is no woman dancing,2.41875,2.802763
A man is sitting on the floor in a room and strumming a guitar,A man is sitting on the floor and is playing a guitar,4.5625,5.0
There is no man eating some food,A man is eating some food,2.875,3.3507013
The man is fasting,The man is eating,2.75,2.9792085
The man is eating,A man is eating some food,4.625,3.7739112
There is no woman using an eye pencil and applying eye liner to her eyelid,A woman is using an eye pencil and is applying eye liner to her eyelid,3.5,3.5036037
A baby is sneezing and scaring another baby,A baby is cheering another baby,2.875,3.6263156
A baby is crawling happily,A baby is sneezing and frightening another baby,1.6249999999999998,1.8397789
The monkey is being trained in martial arts,The monkey is practicing martial arts,4.125,4.2665205
The monkey is being trained in martial arts,A monkey is kicking at the gloved hand of a person,2.75,3.4949071
A monkey is kicking at the gloved hand of a person,The monkey isn't practicing martial arts,2.75,2.6778984
The man is not cutting the tape on the box,A man is cutting a box,2.625,3.3886967
A kid is practicing with an instrument,A kid is playing an instrument,4.375,4.625357
There is no young boy playing a wind instrument,A young boy is playing a wind instrument,4.125,3.6578097
A kid is throwing away an instrument,A young boy is playing a wind instrument,2.25,2.5173569
A man is trekking in the woods,The man is not hiking in the woods,3.5,3.378512
The man is slicing a tomato,A woman is slicing a carrot,2.5,2.6762283
A man is slicing a tomato,A woman is slicing a carrot,2.5,2.5783288
A lady is mixing a meat mixture in a bowl,A lady is mixing a mixture of meat in a bowl,5.0,4.6585484
The lady is stirring meat in a bowl,A lady is mixing a meat mixture in a bowl,4.25,4.8667903
A lady is mixing a meat mixture in a bowl,The woman is not stirring meat in a bowl,3.0,2.9666739
A lady is mixing a meat mixture in a bowl,The woman is stirring meat in a bowl,4.5,4.0179057
The woman is squeezing juice out of a lemon,A woman is squeezing juice out of a lemon,4.875,4.5657387
A woman is squeezing juice out of a lemon,There is no woman squeezing juice out of a lemon,3.25,3.2252176
A kitten is playing with a toy made of blue rope,The kitten is playing with a toy,4.5,4.6629605
A boy is walking across a bridge,A man is walking slowly across a rope bridge,3.125,3.291646
A boy is running away from the fishing line,A young man is running away from the fishing line,3.875,3.7389493
A boy is running away from the fishing line,A boy is running towards the fishing line,3.75,3.476139
A boy is running away from the fishing line,There is no boy hanging a fishing rod and running in front of a fish,2.75,2.602021
A boy is running away from the fishing line,A boy is hanging a fishing rod and running in front of a fish ,3.25,3.0879903
An animal is resting,An animal is running in circles,2.875,3.0185585
A squirrel is running in circles,An animal is running tiredly in circles,3.625,3.9266586
An animal is resting,A squirrel is running in circles,0.875,1.0990504
A squirrel is running in circles,An animal is running in circles,4.25,4.159533
A woman is putting two eggs into a pot of water,A woman is boiling eggs,4.0,3.8673923
A man is playing the guitar,A man is dropping the guitar,2.75,3.616344
There is no person kicking a soccer ball between somebody's feet,A person is kicking a soccer ball between their feet,2.75,3.2708178
A child is running in and out of the ocean waves,A boy is waving at some young runners from the ocean,2.625,3.5004416
The south African plane is flying in a blue sky,"The plane, which is south African, is flying in a blue sky",4.875,4.647035
A woman is cooking a breaded pork chop,The woman is not frying a breaded pork chop,3.75,3.0838292
The man is slicing bread,The man is putting away the bread,2.625,3.5389562
Bread is being sliced by the man,The woman is slicing herbs,1.0,2.5856535
The man is putting away the bread,The woman is slicing herbs,0.2499999999999999,1.3883533
The woman is slicing herbs,The man is slicing bread,1.125,2.5315564
A top violin player is standing on the roof over a man,A man is standing on a roof top and playing a violin,3.25,3.959225
Someone is putting away a keyboard,Someone is typing on a keyboard,2.89375,3.5748174
A woman is absently peeling a potato,A woman is peeling a potato,4.5,3.9309824
A woman is peeling a potato,A woman is putting away a potato,3.75,2.7444494
Someone is cleaning an animal,Someone is cleansing an animal,4.375,3.9538133
A woman is riding a water scooter,A woman is riding a scooter for water,3.875,3.9289641
A woman is riding a water scooter,A woman is riding a scooter towards the water,3.51875,3.3912818
The boy is speedily riding a tricycle,The boy is riding a tricycle,4.231249999999999,3.9425416
The boy is not riding a tricycle,A woman is riding a water scooter,0.4999999999999999,0.37155405
The woman is stirring eggs in a bowl,Somebody is beating an egg,4.0,2.8740342
A person is unfolding a tortilla,A man is folding a tortilla,3.25,3.1520243
A man is folding a tortilla,A person is folding a tortilla,4.625,4.4908953
A man is freeing a fish,A man is catching a fish,3.75,3.855552
A big fish is catching a man,A man is catching a fish,2.0,4.5150437
A woman is carefully deboning a fish,A man is catching a fish,0.4999999999999999,1.7720408
A man is catching a fish,A woman is deboning a fish,3.0,1.2465459
A man is playing a harp,A violin is being played by a man,2.125,3.2946115
A person is wiping butter on a tray,There is no person buttering a tray,3.625,2.6565678
One woman is handing volleyballs to another woman,One woman is denying the volleyballs to another woman,2.75,3.6030798
One woman is handing volleyballs to another woman,A woman is serving volleyballs over a net,3.25,3.4598286
A man is chopping a log with an axe,There is no man chopping a log with an axe,2.875,3.5475266
The man is not chopping a tree trunk with an axe,The man is chopping a tree trunk with an axe,3.625,3.7189627
A guitar is being passionately played by a man,A man is playing a guitar,4.375,4.9772134
A woman is thinking of a man,A man is thinking,3.0625,4.1953573
"A cat with a white coat, perched on a small wooden cabinet, is looking outside the window",A white cat perched on a small wooden cabinet is looking outside the window,4.75,4.0215254
The cat perched on the table is looking out the window,Someone on a perch is looking at a small wooden cat that is on a white cabinet outside the window ,2.375,3.152155
A white cat perched on a small wooden cabinet is looking outside the window,The cat perched on the table is looking out the window,3.75,3.659251
The dog is licking the baby,A dog is licking a baby,5.0,4.0492926
A woman is putting away the garlic,The woman is dicing garlic,3.25,3.0237432
A woman is dancing,There is no woman dancing,2.375,3.2926378
A person is jotting something with a pencil,The person is writing with a pencil,4.875,3.9998305
The person is not writing with a pencil,The person is writing with a pencil,3.0,3.3972373
The person is writing with a pencil,The person is writing,4.75,4.1723394
There is no person writing,The person is writing with a pencil,2.5,2.3417504
Someone is boiling okra in a pot,Someone is being boiled with okra in a pot,2.125,4.522566
Someone is cooking okra in a pan,Somebody is boiling okra in a pot,3.64375,3.5286195
A man is dancing,A man is speaking,1.125,3.241872
A squirrel is crazily spinning around in circles,A squirrel is spinning around in circles,4.5,4.4634156
A squirrel is running around in circles,An animal is running around in circles,4.5,4.337238
A squirrel is lying down,A squirrel is running around in circles,2.375,3.0691195
A squirrel is running around in circles,A runner is circling a squirrel,2.625,4.165995
A squirrel is spinning around in circles,A squirrel is lying down,2.0,3.1241717
Some paper is being cut,Paper is being cut with scissors,4.875,3.645251
The piece of paper is being cut,There is no paper being cut with scissors,4.0,2.9295764
A man is playing a flute,The man is not playing the guitar,2.625,2.3760555
A man is putting down the flute,The man is playing a guitar,1.875,1.70916
A man is playing the drum,The drums are being played by a man,4.75,4.5791354
A man is lazing,A man is doing exercises,2.25,2.7070599
The man is doing floor exercises,A man doing exercises is being floored,2.25,4.236918
The man is doing floor exercises,A man is doing exercises,4.125,4.193246
A man is riding a bicycle,There is no monkey riding a bike,2.0,1.2966597
The fish are immobile,A fish is swimming,3.5,3.6980646
Some fish are swimming,A fish is not swimming,3.625,2.8831806
A pan is being dropped over the meat,The meat is being dropped into a pan,3.16875,4.1613235
A frog is being handled by the woman,The woman is handling a frog,5.0,4.3448815
A man is holding a frog,A frog is being handled by the woman,3.125,2.5921602
The woman is handling a frog,A person is holding a frog,4.0,3.7416556
Four young men are standing still and a car is exploding behind them,The boys are not standing in front of the burning car,2.375,2.7686129
The boys are standing and burning a car,Four young men are standing still and a car is exploding behind them,2.85625,3.655901
Four young men are standing still and a car is exploding behind them,The boys are standing in front of the burning car,2.875,3.0916238
A boy is filling a pitcher with water,A woman is emptying the water from a mug,1.0,2.4503775
A woman is collecting tap water in a mug,There is no boy filling a pitcher with water,2.0,1.73698
A boy is filling a pitcher with water,A woman is collecting tap water in a mug,1.6249999999999998,2.8937073
There is no man walking in the rain,A man is walking in the rain,3.125,3.1643357
Racers are running down a track,There are no racers running down a track,3.375,3.31451
The men are not putting suitcases into the trunk of a car ,The men are packing suitcases into the trunk of a car,2.625,3.8364878
A woman is putting on eyeshadow,Eyeshadow is being put on by a woman,5.0,4.775465
A woman is putting make-up on,The woman is removing make-up,2.39375,0.92946786
A toy train is striking a toy car,There is no toy train striking a toy car,2.625,3.2587802
The person is not slicing onions,The person is slicing onions,3.625,3.2983222
Several swimmers are jumping into the water,Several jumpers are swimming in the water,3.625,3.2132876
Some swimmers are getting out of a lake,Swimmers are racing in a lake,3.0,3.4559567
A talented man is playing the guitar,A man is playing a guitar,4.375,4.8504415
A woman is playing a guitar,A guitar is being played by a woman,4.625,4.737529
The boy is studying a calendar,A boy is studying a calendar,5.0,4.9932284
There is no person throwing a cat at the ceiling,A person is throwing a cat at the ceiling,3.0,3.2515085
The woman is picking up and holding a baby kangaroo,A woman is dropping a baby kangaroo from her arms,3.25,3.8775616
A woman is staging a dance,A woman is dancing and a man is playing the keyboard,2.625,2.3506718
A woman is scrubbing a zucchini with a brush for vegetables,A woman is scrubbing a zucchini with a vegetable brush,4.75,4.261125
A woman is scrubbing a zucchini with a brush for vegetables,A person is scrubbing a zucchini,4.5,4.659232
There is no woman scrubbing a zucchini with a vegetable brush,A person is scrubbing a zucchini,3.5,3.242513
A man in a cap is playing a harp,A man is playing a guitar,1.5625,2.9840758
A man is playing a guitar,A man in a hat is playing a harp,2.125,2.4819033
The woman with the knife is not slicing a pepper,A woman is slicing a green pepper,2.875,3.2759337
A woman is slicing a green pepper,The woman with a knife is slicing a pepper,4.25,4.0767617
A woman is playing a flute,A woman is getting rid of a flute,3.0,2.9773848
A woman is playing a flute,A woman is playing flute,4.875,4.784212
There is no man riding a horse,A man is riding a horse,3.625,3.4924965
The man is riding a horse by a stream,A man is riding a horse,4.25,4.3967857
A horse is being ridden in a creek by a man,A man is riding a horse,4.625,4.4680557
The man is riding a horse by a creek,A horse is being ridden by a man,4.125,4.7606997
A cat is playing a piano funnily,A cat is playing a piano,4.375,4.9873567
A cat is playing a piano,The cat is playing keyboards,4.125,4.3172307
A cat is playing a piano funnily,A cat is playing keyboards,3.625,4.777584
A cat is playing a piano,A cat is playing keyboards,4.25,4.4544144
The man is walking along a path through the wilderness,The man is not walking along a path through the wilderness,3.5,3.5487695
A man from the wilderness is on a walking path,The man is walking along a path through the wilderness,3.875,4.309445
A man from the wilderness is on a walking path,A man is walking down a road,3.0,3.1801662
A man is stopping in the middle of a road,The man is walking along a path through the wilderness,2.125,2.1640146
A man is coming out of the water,A person is coming out of the water,4.625,3.9995239
A man is escaping a rising swamp,A man is rising from a swamp,3.0,4.4194098
A man is rising from a swamp,A person is coming out of the water,3.25,2.2643068
A man is rising from a swamp,A man is coming out of the water,4.125,2.6133895
A man is dancing upside-down on the ceiling,A man is idling on the floor,1.75,1.7189566
There is no man dancing,A man is dancing,4.25,3.521365
There is no man dancing,A man is singing,2.375,1.8388588
There is no man exercising,A girl is exercising,1.5000000000000002,2.6998332
A man is playing the guitar,A man is packing the guitar,3.125,3.425186
The women are not dancing outside,The women are dancing outside,2.875,3.4921684
The women are dancing outside,A few people are dancing,4.125,4.3680615
There is no group of people dancing,The women are dancing outside,3.0,2.785448
The women are dancing outside,A group of people are dancing,3.5,4.2764206
Two men are doing a funny skit with a boxer in front of a crowd of people,"Two men are doing a skit, which is very funny, with a boxer in front of a crowd of people",5.0,3.6927109
Two men are doing a funny skit with a boxer in front of a crowd of people,Two men with a dog are boring a crowd of people,2.875,2.0224555
Boys are dancing in front of some people,A funny crowd of people is doing a skit of two boxing men,0.4999999999999999,1.7939787
Boys are dancing in front of some people,Two men are doing a funny skit with a boxer in front of a crowd of people,1.5000000000000002,2.5958292
A boy is attentively looking at a calendar,A boy is looking at a calendar,4.5,4.508582
A biker is riding away from a fence,A biker is riding along the top of a fence,3.125,2.9157698
The boy is riding a bike on the top of a metal fence,The riders are fencing in a boy's metal bike,2.0,3.6744401
The boy is not riding a bike on the top of a metal fence,A biker is riding along the top of a fence,2.375,3.1172245
A biker is riding away from a fence,The boy is riding a bike on the top of a metal fence,2.375,2.2724435
A woman is washing a big pepper,A woman is slicing a big pepper,3.625,3.3914838
A girl is falling asleep,A girl is waking up,3.0,2.8123386
A woman is peeling a potato,The woman is peeling a potato,5.0,4.0758734
A woman is peeling a potato,A woman is refrigerating a potato,3.375,3.6137516
A woman is slicing a tomato,The woman is peeling a potato,2.875,2.6609106
A man is climbing up a rope,The man is not climbing up a rope,3.875,3.281347
A man is recklessly climbing a rope,A man is climbing up a rope,4.125,4.256116
A man is climbing up a rope,A man is being roped before climbing,3.125,3.5048833
A man is climbing a rope,A man is climbing up a rope,4.75,4.1434402
The lady is picking up the kangaroo,The woman is picking up the kangaroo,4.875,4.074264
The woman is picking up the kangaroo,The kangaroo is picking up the woman,3.5,4.0796747
The woman is not picking up a baby kangaroo,The woman is picking up the kangaroo,3.0,3.292106
A person is riding a jetski in the waves,There is no person riding a jetski in the waves,3.75,3.3946304
A person is riding a jetski in the waves,A Seadoo is being ridden by a woman,3.625,2.6899161
A person is riding a jetski in the waves,A woman is riding a Seadoo,4.0,2.8764703
A man is slowly dancing on the road,A man is dancing,4.25,4.2805924
A man is dancing,There is no man dancing on the road,2.75,3.3393195
A man is dancing on the road,A person is dancing,3.625,4.1271405
The man is running on the road,A dog is running on the road,2.75,2.4367414
A man is running on the road,A dog is running breathlessly on the road,2.0,2.1582706
One man is riding a horse,The man is riding a horse,5.0,4.4973655
The man is not riding a horse,The man is riding a horse,4.0,3.513021
One man is riding a horse,A man is riding a horse,4.625,4.565706
The person is not drawing,The person is drawing,3.625,3.256074
A picture is being drawn by a man,The person is drawing,3.875,3.4520037
Someone is beautifully playing the piano,Someone is playing the guitar,2.5,3.739632
A man is eating a pizza,A pizza is being eaten by a man,4.875,4.6081295
A cute panda is lying down,A panda that is cute is lying down,4.875,3.990689
The panda bear is not lying on the logs,A cute panda is lying down,4.125,2.8664696
The panda bear is lying on the logs,A cute panda is not lying down,3.375,2.9172442
There is no dog bouncing on a trampoline,A dog is bouncing on a trampoline,3.0,3.4396467
There is no dog bouncing on a trampoline,A dog is jumping on a trampoline,3.375,3.2749782
A man is doing back flips on a trampoline,A man is jumping on a trampoline,4.125,4.088616
A man is doing back flips on a trampoline,There are no kids jumping on a trampoline,2.625,2.5727375
There is no man doing back flips on a trampoline,Several kids are jumping on a trampoline,2.75,2.6921432
A woman is slicing an onion,A woman is cutting an onion,4.875,4.425366
A woman is cutting meat,A woman is slicing an onion,2.25,2.9447973
A man is playing a wooden flute,A wooden flute is being played by a man,5.0,4.953972
There is no man playing a wooden flute,A man is playing the piano,2.0187500000000003,2.423257
The man is cleaning the drawing on the board,The man is erasing the other man's work from the board,3.5,2.9736114
The woman is erasing the drawing on the board,The man is erasing the other man's work from the board,3.25,2.6854286
The man is erasing the other man's work from the board,The man is erasing the drawing on the board,3.75,4.200217
An eggplant is being sliced by a woman,A woman is cutting a vegetable,3.875,4.1893387
A dog is eating a doll,A dog is biting a doll,4.125,3.9168494
A man is praying fervently,A man is praying,4.25,4.778094
A man is performing a dance,A man is praying,1.375,0.28137764
A man is praying,There is no man dancing,0.7500000000000001,1.6460629
A man is dancing,A man is praying,1.75,1.0132246
A man is slicing some bread,A person is slicing a piece of bread,4.5,4.382463
The animal with big eyes is voraciously eating,The animal with big eyes is eating,4.25,4.5817747
The animal with big eyes is sleeping,The animal with big eyes is eating,2.75,3.7541378
The animal with big eyes is eating,A lemur is eating,3.875,3.7809248
Two people are talking,Two men are playing guitar,1.0,0.5980396
Two girls are playing guitar,Two men are talking,0.66875,0.29192716
There is no man playing an electronic keyboard,A man is playing an electronic keyboard,2.75,3.3798478
A man is playing a flute,An electronic keyboard is being played by a man,2.375,3.190012
A song is being sung by a clown,A clown is singing,4.75,3.5201528
A clown is singing and people are dancing,A clown is singing,4.25,3.5446298
The horse is being ridden by the girl,The girl is spraying the plants with water,0.4999999999999999,1.9191977
The girl is spraying the plants with water,The girl is riding the horse,0.375,2.0574694
There is no man rapidly chopping some mushrooms with a knife,A man is rapidly chopping some mushrooms with a knife,3.625,3.5942056
A person is not quickly chopping mushrooms with a knife,A man is rapidly chopping some mushrooms with a knife,3.75,3.4119122
A man is quickly chopping some mushrooms with a knife,A person is quickly chopping mushrooms with a knife,4.25,4.77493
A man and a woman are shaking hands,Two persons are shaking hands,4.625,4.282831
An old woman is shaking hands with a man,An woman that is old is shaking hands with a man,4.875,3.906173
A young woman is shaking hands with a man,A man and a woman are shaking hands,4.25,3.9734614
There is no woman chopping up an octopus,A woman is chopping up an octopus,3.0,3.3096035
The man is cutting cooked octopus,The woman is cutting cooked octopus,3.5,3.882439
The man is cutting cooked octopus,A woman is chopping up an octopus,3.85625,3.5378072
The woman is cutting cooked octopus,A woman is chopping up an octopus,4.25,4.212166
A plane is landing,A plane is taking off,3.0,4.1479836
A man is shooting guns,A man is shooting a weapon,4.75,3.935848
A man is shooting guns,A woman is not riding a horse,0.0,0.0
A man is cutting a potato,There is no man cutting a potato,3.25,3.1767457
A woman is cutting a tomato,A man is cutting a tomato,3.25,3.6282244
A man is slicing a potato,A woman is cutting a tomato,1.75,2.0825145
A woman is cutting a tomato,A man is cutting a potato,2.125,2.6500607
The woman is drawing a man,A man is drawing,1.875,4.329353
The man is drawing,There is no man drawing,3.0,3.1120322
A man is drawing,The man is drawing,5.0,3.93898
A man is picking a can,A woman is slicing a tomato,0.4999999999999999,0.030133106
Someone is peeling a banana,A man is eating a fruit,2.25,1.7686701
A dog is barking noisily,A dog is barking,4.75,3.7268023
A person is tearing paper,A person is tearing sheets,3.375,3.27645
A man is cutting himself with a piece of paper,A person is tearing paper,1.25,4.2063007
A man is playing a guitar,There is no one playing a piano,2.125,0.91198295
A man is untying a shoe,A man is tying a shoe,2.5,3.8186252
A guy is not riding a horse,A guy is riding a horse,3.875,3.510188
A man is riding a horse on the beach,A man is riding a horse in the desert,3.125,4.151147
A man is riding a horse in the desert,A guy is riding a horse,4.125,4.22807
The man is not cutting a paper plate,The man is cutting a paper plate,2.875,3.583227
A man is cutting a paper plate,A paper plate is being cut by the man,5.0,4.6858225
Some old women are talking,Some women are talking,4.25,4.1133657
A man is playing an instrument,A woman is putting on lipstick,0.1250000000000001,0.0
A man is singing to a girl,A man is singing to a woman,4.0,3.8050923
The rhino is grazing on the grass,The rhino is being fed on the grass,4.1875,3.9223008
There is no rhino grazing in a field,The rhino is grazing on the grass,3.125,3.1880233
A man and a woman are running together and holding hands,A couple is running and holding hands,4.3125,4.1655974
A man and a woman are running together and holding hands,A man and a woman are standing together and holding hands,3.25,4.3591857
A man and a woman are running together and holding hands,A couple is running towards the ocean,3.25,2.5061407
A man is punching a soccer ball,A man is mixing the content of a bowl,0.2499999999999999,0.97841865
The woman is pouring oil into the pan,Oil is being poured into the pan by the woman,5.0,4.6403055
Oil is being poured into the pan by the woman,The boy is playing the piano,0.0,0.0
The boy is not playing the piano,The woman is pouring oil into the pan,0.0,0.0
The doctor is not helping the patient,The doctors are reviving a man,2.625,1.8157514
The doctors are healing a man,The doctor is helping the patient,4.0,3.9545963
A woman is being massaged by a man,A man is massaging a woman,4.875,3.7076774
A man is riding a horse,There is no man riding a horse,4.25,3.210738
A cat is crawling under a piece of furniture,An animal is crawling under a piece of furniture,4.25,4.438789
A cat is crawling under a piece of furniture,A cat is sliding upside down under a couch,3.375,2.740999
A man is riding a horse,A horse is being ridden by a woman,3.2687500000000003,2.8361287
A man is shaking a container over a sink in the kitchen,There is no man shaking a container over a sink in the kitchen,3.0,3.4460945
Some men are fighting,A group of men is fighting,4.375,4.0065846
Two men are not fighting,Some men are fighting,3.75,3.1643934
A group of men is fighting,Two men are fighting,3.75,3.6116796
A couple of policewomen are singing karaoke,A couple of policewomen are singing,4.0,4.7635326
There is no policewoman singing at karaoke,A couple of policewomen are singing karaoke,3.25,3.154624
An animal is being ridden by a woman,A woman is riding a horse,3.875,3.8318546
A hamster is singing,A small animal is singing,4.25,4.1962733
A man is driving a car,A car is being driven by a man,4.75,4.5370364
There is no boy cutting grass with scissors,A boy is cutting grass with scissors,3.125,3.3164914
A man is playing a violin,There is no man playing a violin,3.5,3.425862
The baby is not laughing and crawling,The baby is laughing and crawling,3.25,3.52981
The baby is laughing and crawling,A violin is being played by a man,0.0,0.008381903
A man is playing a harp,A harp is being played by a man,4.875,5.0
A keyboard is being played by a man,A man is playing a harp,1.75,3.437801
A harp is being played by a man,A man is playing a keyboard,2.625,3.1977324
A man is cutting a cord with a sword,A man is cutting a rope with a sword,4.375,3.7216518
A man is tying a thick rope,A man is cutting a thick rope with a sword,2.4,3.9101925
There is no man walking along a path through a wilderness,A man is walking along a path through a wilderness,3.875,3.6267738
A woman is cutting a potato,An onion is being sliced by a woman,2.75,3.4660735
A woman is slicing an onion,A woman is slicing a potato,2.375,3.1511455
